"filename", "language", "JavaScript", "PostCSS", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\kamp\LinkedinClone\linkedin-clone\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\kamp\LinkedinClone\linkedin-clone\package-lock.json", "JSON", 0, 0, 53910, 0, 0, 0, 0, 1, 53911
"c:\kamp\LinkedinClone\linkedin-clone\package.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 1, 48
"c:\kamp\LinkedinClone\linkedin-clone\public\images\article-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\card-bg.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\kamp\LinkedinClone\linkedin-clone\public\images\comment-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\comment-icon2.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\down-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\ellipsis.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\event-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\feed-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\kamp\LinkedinClone\linkedin-clone\public\images\google.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\kamp\LinkedinClone\linkedin-clone\public\images\home-logo.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\kamp\LinkedinClone\linkedin-clone\public\images\item-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\like-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\kamp\LinkedinClone\linkedin-clone\public\images\login-hero.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\kamp\LinkedinClone\linkedin-clone\public\images\login-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\kamp\LinkedinClone\linkedin-clone\public\images\nav-home.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\kamp\LinkedinClone\linkedin-clone\public\images\nav-jobs.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\kamp\LinkedinClone\linkedin-clone\public\images\nav-messaging.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
